FrameIndex,JointIndex,PosX,PosY,PosZ,RotW,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
6,4,10.54373,1.08914,9.09702,0.98343,-0.0493,-0.1437,-0.09892,1.00005,1.00001,1
6,5,10.53819,1.09285,9.11812,0.98343,-0.0493,-0.1437,-0.09892,1,1,1
6,6,10.62464,1.06268,8.99647,0.95472,-0.0054,-0.0267,-0.29626,1.00002,1.00001,0.99996
6,7,10.62248,1.06386,9.04151,0.96434,-0.17174,0.00376,-0.20133,0.99996,1.00004,1.00007
6,8,10.6248,1.07387,9.07009,0.96677,-0.01421,-0.00145,-0.25523,1.00002,1.00001,0.99994
6,9,10.62489,1.07443,9.09015,0.96584,-0.01021,-0.05332,-0.25341,1.00002,0.99997,0.99997
6,10,10.62315,1.07661,9.11167,0.96584,-0.01021,-0.05332,-0.25341,1,1,1
6,11,10.60042,1.06823,8.98854,0.9817,-0.06982,-0.15329,-0.08887,1,1,1
6,12,10.58551,1.08304,9.04546,0.98643,-0.03961,-0.12804,-0.09484,0.99996,1.00001,1.00001
6,13,10.57511,1.08739,9.08636,0.98611,-0.03022,-0.12499,-0.10516,1.00003,1,1.00004
6,14,10.56857,1.08972,9.11269,0.9779,-0.08897,-0.11562,-0.14973,0.99997,1.00001,0.99996
6,15,10.56429,1.09584,9.13623,0.9779,-0.08897,-0.11562,-0.14973,1,1,1
6,16,10.6002,1.07637,9.00101,0.9817,-0.06982,-0.15329,-0.08887,1,1,1
6,17,10.61768,1.06728,8.99427,0.9817,-0.06982,-0.15329,-0.08887,1,1,1
6,18,10.6045,1.07517,9.04536,0.9789,-0.11675,-0.07765,-0.14865,0.99999,1.00004,1.00004
6,19,10.59998,1.08487,9.08238,0.97834,-0.05642,-0.08924,-0.17806,1.00004,0.99993,0.99994
6,20,10.59592,1.0886,9.10806,0.97457,-0.05904,-0.11854,-0.18079,0.99993,1.00003,1.00001
6,21,10.59169,1.09379,9.13121,0.97457,-0.05904,-0.11854,-0.18079,1,1,1
6,22,10.57415,1.06353,8.98176,0.75528,-0.30597,-0.32608,0.47917,1.00002,0.99997,0.99999
6,23,10.5489,1.06834,9.00104,0.84791,-0.18266,-0.22822,0.44227,0.99999,0.99999,1.00005
6,24,10.53058,1.07194,9.02873,0.77034,-0.24695,-0.3079,0.50079,1.00001,0.99999,1
7,25,10.51261,1.07469,9.04491,0.77034,-0.24695,-0.3079,0.50079,1,1,1
7,0,10.61486,1.06971,8.95653,0.98163,-0.0704,-0.15344,-0.0889,1,1,1
7,1,10.58437,1.06908,8.98572,0.98163,-0.0704,-0.15344,-0.0889,1,1,1
7,2,10.56424,1.08192,9.03949,0.98093,-0.06306,-0.17476,-0.05706,1.00005,1.00004,0.99999
7,3,10.55166,1.08731,9.07439,0.98167,-0.02865,-0.17168,-0.07766,0.99996,0.99995,0.99995
